Folarin,5,0,0,0,0,0
Folarin,6,0,0,0,0,0
Folarin,7,0,0,0,0,0
Folarin,8,0,0,0,0,0
Folarin,9,0,0,0,0,0
Folarin,10,0,0,0,0,0
Folarin,11,0,0,0,0,0
Cédric,5,0,0,0,0,0
Cédric,6,0,0,0,0,0
Cédric,7,0,0,0,0,0
Cédric,8,0,0,0,0,0
Cédric,9,0,0,0,0,0
Cédric,10,0,0,0,0,0
Cédric,11,0,0,0,0,0
Mohamed,5,0,0,0,0,0
Mohamed,6,0,0,0,0,0
Mohamed,7,0,0,0,0,0
Mohamed,8,0,0,0,0,0
Mohamed,9,0,0,0,0,0
Mohamed,10,0,0,0,0,1
Mohamed,11,0,0,0,1,0
Fábio,5,0,0,34,13,79
Fábio,6,0,34,13,79,45
Fábio,7,34,13,79,45,14
Fábio,8,13,79,45,14,0
Fábio,9,79,45,14,0,0
Fábio,10,45,14,0,0,17
Fábio,11,14,0,0,17,11
Gabriel,5,4,20,0,90,90
Gabriel,6,20,0,90,90,90
Gabriel,7,0,90,90,90,90
Gabriel,8,90,90,90,90,90
Gabriel,9,90,90,90,90,90
Gabriel,10,90,90,90,90,0
Gabriel,11,90,90,90,0,90
Kai,5,90,90,55,76,10
Kai,6,90,55,76,10,45
Kai,7,55,76,10,45,80
Kai,8,76,10,45,80,15
Kai,9,10,45,80,15,12
Kai,10,45,80,15,12,90
Kai,11,80,15,12,90,90
Gabriel,5,0,0,1,14,24
Gabriel,6,0,1,14,24,76
Gabriel,7,1,14,24,76,90
Gabriel,8,14,24,76,90,90
Gabriel,9,24,76,90,90,67
Gabriel,10,76,90,90,67,0
Gabriel,11,90,90,67,0,0
Jorge Luiz,5,0,11,6,1,0
Jorge Luiz,6,11,6,1,0,45
Jorge Luiz,7,6,1,0,45,9
Jorge Luiz,8,1,0,45,9,74
Jorge Luiz,9,0,45,9,74,67
Jorge Luiz,10,45,9,74,67,0
Jorge Luiz,11,9,74,67,0,78
Jakub,5,0,1,90,0,0
Jakub,6,1,90,0,0,0
Jakub,7,90,0,0,0,0
Jakub,8,0,0,0,0,0
Jakub,9,0,0,0,0,0
Jakub,10,0,0,0,0,90
Jakub,11,0,0,0,90,0
Marcus,5,0,0,0,0,0
Marcus,6,0,0,0,0,0
Marcus,7,0,0,0,0,0
Marcus,8,0,0,0,0,0
Marcus,9,0,0,0,0,0
Marcus,10,0,0,0,0,0
Marcus,11,0,0,0,0,0
Gabriel,5,85,69,90,89,23
Gabriel,6,69,90,89,23,0
Gabriel,7,90,89,23,0,0
Gabriel,8,89,23,0,0,45
Gabriel,9,23,0,0,45,77
Gabriel,10,0,0,45,77,65
Gabriel,11,0,45,77,65,90
Eddie,5,72,78,45,75,65
Eddie,6,78,45,75,65,90
Eddie,7,45,75,65,90,68
Eddie,8,75,65,90,68,74
Eddie,9,65,90,68,74,22
Eddie,10,90,68,74,22,90
Eddie,11,68,74,22,90,78
Martin,5,90,89,83,90,90
Martin,6,89,83,90,90,90
Martin,7,83,90,90,90,90
Martin,8,90,90,90,90,90
Martin,9,90,90,90,90,77
Martin,10,90,90,90,77,0
Martin,11,90,90,77,0,0
Thomas,5,90,90,55,0,0
Thomas,6,90,55,0,0,0
Thomas,7,55,0,0,0,0
Thomas,8,0,0,0,0,15
Thomas,9,0,0,0,15,0
Thomas,10,0,0,15,0,0
Thomas,11,0,15,0,0,0
Nicolas,5,0,0,0,0,0
Nicolas,6,0,0,0,0,0
Aaron,5,90,90,90,90,0
Aaron,6,90,90,90,0,0
Aaron,7,90,90,0,0,0
Aaron,8,90,0,0,0,0
Bukayo,5,90,88,90,90,90
Bukayo,6,88,90,90,90,90
Bukayo,7,90,90,90,90,75
Bukayo,8,90,90,90,75,0
Bukayo,9,90,90,75,0,90
Bukayo,10,90,75,0,90,72
Bukayo,11,75,0,90,72,90
William,5,90,90,90,90,90
William,6,90,90,90,90,90
William,7,90,90,90,90,90
William,8,90,90,90,90,90
William,9,90,90,90,90,90
William,10,90,90,90,90,90
William,11,90,90,90,90,90
Emile,6,0,0,0,0,1
Emile,7,0,0,0,1,9
Emile,8,0,0,1,9,0
Emile,9,0,1,9,0,22
Emile,10,1,9,0,22,72
Emile,11,9,0,22,72,0
Takehiro,5,40,66,0,14,10
Takehiro,6,66,0,14,10,0
Takehiro,7,0,14,10,0,21
Takehiro,8,14,10,0,21,15
Takehiro,9,10,0,21,15,45
Takehiro,10,0,21,15,45,24
Takehiro,11,21,15,45,24,90
Leandro,5,17,0,45,0,66
Leandro,6,0,45,0,66,0
Leandro,7,45,0,66,0,0
Leandro,8,0,66,0,0,45
Leandro,9,66,0,0,45,12
Leandro,10,0,0,45,12,24
Leandro,11,0,45,12,24,11
Benjamin,5,90,90,90,90,90
Benjamin,6,90,90,90,90,90
Benjamin,7,90,90,90,90,90
Benjamin,8,90,90,90,90,90
Benjamin,9,90,90,90,90,90
Benjamin,10,90,90,90,90,65
Benjamin,11,90,90,90,65,72
Oleksandr,5,0,1,34,75,79
Oleksandr,6,1,34,75,79,90
Oleksandr,7,34,75,79,90,68
Oleksandr,8,75,79,90,68,74
Oleksandr,9,79,90,68,74,45
Oleksandr,10,90,68,74,45,90
Oleksandr,11,68,74,45,90,17
David,5,0,0,0,0,90
David,6,0,0,0,90,90
David,7,0,0,90,90,90
David,8,0,90,90,90,90
David,9,90,90,90,90,90
David,10,90,90,90,90,90
David,11,90,90,90,90,90
Declan,5,90,90,90,90,90
Declan,6,90,90,90,90,45
Declan,7,90,90,90,45,80
Declan,8,90,90,45,80,90
Declan,9,90,45,80,90,90
Declan,10,45,80,90,90,88
Declan,11,80,90,90,88,90
Reiss,5,0,0,0,1,0
Reiss,6,0,0,1,0,13
Reiss,7,0,1,0,13,21
Reiss,8,1,0,13,21,0
Reiss,9,0,13,21,0,0
Reiss,10,13,21,0,0,17
Reiss,11,21,0,0,17,0
Jurriën,5,49,0,0,0,0
Leon,5,45,62,0,46,33
Leon,6,62,0,46,33,15
Leon,7,0,46,33,15,0
Leon,8,46,33,15,0,8
Leon,9,33,15,0,8,14
Leon,10,15,0,8,14,45
Leon,11,0,8,14,45,45
Matty,5,86,90,90,90,90
Matty,6,90,90,90,90,90
Matty,7,90,90,90,90,90
Matty,8,90,90,90,90,81
Matty,9,90,90,90,81,90
Matty,10,90,90,81,90,78
Matty,11,90,81,90,78,58
Philippe,5,3,21,0,0,0
Philippe,6,21,0,0,0,0
Leander,5,0,0,0,0,1
Leander,6,0,0,0,1,1
Leander,7,0,0,1,1,0
Leander,8,0,1,1,0,0
Leander,9,1,1,0,0,0
Leander,10,1,0,0,0,1
Leander,11,0,0,0,1,4
Diego Carlos,5,26,26,90,18,0
Diego Carlos,6,26,90,18,0,0
Diego Carlos,7,90,18,0,0,0
Diego Carlos,8,18,0,0,0,90
Diego Carlos,9,0,0,0,90,0
Diego Carlos,10,0,0,90,0,11
Diego Carlos,11,0,90,0,11,12
Lucas,5,90,90,80,90,90
Lucas,6,90,80,90,90,90
Lucas,7,80,90,90,90,90
Lucas,8,90,90,90,90,90
Lucas,9,90,90,90,90,90
Lucas,10,90,90,90,90,90
Lucas,11,90,90,90,90,90
Douglas Luiz,5,90,63,85,71,90
Douglas Luiz,6,63,85,71,90,90
Douglas Luiz,7,85,71,90,90,90
Douglas Luiz,8,71,90,90,90,90
Douglas Luiz,9,90,90,90,90,90
Douglas Luiz,10,90,90,90,90,89
Douglas Luiz,11,90,90,90,89,85
Jhon,5,0,16,4,17,19
Jhon,6,16,4,17,19,1
Jhon,7,4,17,19,1,11
Jhon,8,17,19,1,11,0
Jhon,9,19,1,11,0,0
Jhon,10,1,11,0,0,0
Jhon,11,11,0,0,0,0
Boubacar,5,90,90,90,90,57
Boubacar,6,90,90,90,57,89
Boubacar,7,90,90,57,89,89
Boubacar,8,90,57,89,89,81
Boubacar,9,57,89,89,81,90
Boubacar,10,89,89,81,90,78
Boubacar,11,89,81,90,78,77
Ezri,5,90,90,90,90,90
Ezri,6,90,90,90,90,90
Ezri,7,90,90,90,90,90
Ezri,8,90,90,90,90,90
Ezri,9,90,90,90,90,90
Ezri,10,90,90,90,90,90
Ezri,11,90,90,90,90,90
Emiliano,5,90,90,0,90,90
Emiliano,6,90,0,90,90,90
Emiliano,7,0,90,90,90,90
Emiliano,8,90,90,90,90,90
Emiliano,9,90,90,90,90,90
Emiliano,10,90,90,90,90,90
Emiliano,11,90,90,90,90,90
John,5,63,90,90,90,70
John,6,90,90,90,70,74
John,7,90,90,70,74,90
John,8,90,70,74,90,90
John,9,70,74,90,90,90
John,10,74,90,90,90,90
John,11,90,90,90,90,90
Tyrone,5,30,0,0,0,0
Robin,5,0,0,90,0,0
Robin,6,0,90,0,0,0
Robin,7,90,0,0,0,0
Jaden,5,3,0,0,0,0
Jacob,6,0,0,0,0,15
Jacob,7,0,0,0,15,33
Jacob,8,0,0,15,33,0
Jacob,9,0,15,33,0,0
Jacob,10,15,33,0,0,0
Jacob,11,33,0,0,0,0
Youri,5,45,27,4,18,32
Youri,6,27,4,18,32,9
Youri,7,4,18,32,9,1
Youri,8,18,32,9,1,8
Youri,9,32,9,1,8,5
Youri,10,9,1,8,5,11
Youri,11,1,8,5,11,31
Bertrand,5,0,0,9,0,0
Bertrand,6,0,9,0,0,0
Bertrand,7,9,0,0,0,0
Bertrand,10,0,0,0,0,1
Bertrand,11,0,0,0,1,0
Ollie,5,90,73,85,72,90
Ollie,6,73,85,72,90,90
Ollie,7,85,72,90,90,90
Ollie,8,72,90,90,90,90
Ollie,9,90,90,90,90,90
Ollie,10,90,90,90,90,90
Ollie,11,90,90,90,90,90
Pau,5,59,90,90,90,90
Pau,6,90,90,90,90,90
Pau,7,90,90,90,90,90
Pau,8,90,90,90,90,90
Pau,9,90,90,90,90,90
Pau,10,90,90,90,90,90
Pau,11,90,90,90,90,90
Moussa,5,86,63,72,90,90
Moussa,6,63,72,90,90,80
Moussa,7,72,90,90,80,78
Moussa,8,90,90,80,78,61
Moussa,9,90,80,78,61,84
Moussa,10,80,78,61,84,89
Moussa,11,78,61,84,89,90
Nicolò,7,17,25,56,74,56
Nicolò,8,25,56,74,56,28
Nicolò,9,56,74,56,28,75
Nicolò,10,74,56,28,75,45
Nicolò,11,56,28,75,45,45
Jaidon,5,59,62,30,0,0
Jaidon,6,62,30,0,0,0
Jaidon,7,30,0,0,0,0
Philip,5,90,90,85,90,90
Philip,6,90,85,90,90,81
Philip,7,85,90,90,81,74
Philip,8,90,90,81,74,90
Philip,9,90,81,74,90,90
Philip,10,81,74,90,90,81
Philip,11,74,90,90,81,70
David,5,74,14,17,30,1
David,6,14,17,30,1,8
David,7,17,30,1,8,0
David,8,30,1,8,0,23
David,9,1,8,0,23,56
David,10,8,0,23,56,0
David,11,0,23,56,0,0
Ryan,5,66,62,59,86,88
Ryan,6,62,59,86,88,81
Ryan,7,59,86,88,81,82
Ryan,8,86,88,81,82,45
Ryan,9,88,81,82,45,33
Ryan,10,81,82,45,33,90
Ryan,11,82,45,33,90,90
Lewis,5,0,0,45,90,90
Lewis,6,0,45,90,90,90
Lewis,7,45,90,90,90,90
Lewis,8,90,90,90,90,66
Lewis,9,90,90,90,66,53
Lewis,10,90,90,66,53,0
Lewis,11,90,66,53,0,0
James,5,15,0,0,0,0
Lloyd,5,0,14,90,0,90
Lloyd,6,14,90,0,90,82
Lloyd,7,90,0,90,82,0
Lloyd,8,0,90,82,0,0
Lloyd,9,90,82,0,0,90
Lloyd,10,82,0,0,90,90
Lloyd,11,0,0,90,90,90
Justin,5,30,27,59,70,27
Justin,6,27,59,70,27,63
Justin,7,59,70,27,63,58
Justin,8,70,27,63,58,0
Justin,9,27,63,58,0,0
Justin,10,63,58,0,0,0
Justin,11,58,0,0,0,5
Chris,5,30,0,0,3,0
Chris,6,0,0,3,0,0
Chris,7,0,3,0,0,0
Chris,8,3,0,0,0,0
Chris,10,0,0,0,0,90
Chris,11,0,0,0,90,45
Kieffer,5,23,27,4,0,0
Kieffer,6,27,4,0,0,0
Kieffer,7,4,0,0,0,0
Kieffer,8,0,0,0,0,24
Kieffer,9,0,0,0,24,5
Kieffer,10,0,0,24,5,0
Kieffer,11,0,24,5,0,0
Norberto,5,90,90,90,90,90
Norberto,6,90,90,90,90,90
Norberto,7,90,90,90,90,90
Norberto,8,90,90,90,90,90
Norberto,9,90,90,90,90,90
Norberto,10,90,90,90,90,0
Norberto,11,90,90,90,0,0
Dango,5,0,0,0,0,62
Dango,6,0,0,0,62,27
Dango,7,0,0,62,27,31
Dango,8,0,62,27,31,56
Dango,9,62,27,31,56,15
Dango,10,27,31,56,15,21
Dango,11,31,56,15,21,0
Joe,5,90,75,45,0,0
Joe,6,75,45,0,0,0
Joe,7,45,0,0,0,15
Joe,8,0,0,0,15,45
Joe,9,0,0,15,45,33
Joe,10,0,15,45,33,8
Joe,11,15,45,33,8,46
Antoine,5,15,75,72,59,0
Antoine,6,75,72,59,0,26
Antoine,7,72,59,0,26,7
Antoine,8,59,0,26,7,0
Antoine,9,0,26,7,0,0
Antoine,10,26,7,0,0,68
Antoine,11,7,0,0,68,19
Marcos,5,59,83,0,90,16
Marcos,6,83,0,90,16,7
Marcos,7,0,90,16,7,90
Marcos,8,90,16,7,90,90
Marcos,9,16,7,90,90,5
Marcos,10,7,90,90,5,0
Marcos,11,90,90,5,0,45
Adam,7,0,0,0,0,7
Adam,8,0,0,0,7,85
Adam,9,0,0,7,85,0
Adam,10,0,7,85,0,5
Adam,11,7,85,0,5,0
Dominic,5,90,90,90,90,90
Dominic,6,90,90,90,90,90
Dominic,7,90,90,90,90,90
Dominic,8,90,90,90,90,90
Dominic,9,90,90,90,90,84
Dominic,10,90,90,90,84,90
Dominic,11,90,90,84,90,84
Marcus,5,0,0,0,19,72
Marcus,6,0,0,19,72,62
Marcus,7,0,19,72,62,58
Marcus,8,19,72,62,58,90
Marcus,9,72,62,58,90,74
Marcus,10,62,58,90,74,81
Marcus,11,58,90,74,81,71
Hamed,5,0,6,30,0,0
Hamed,6,6,30,0,0,8
Hamed,7,30,0,0,8,0
Hamed,8,0,0,8,0,0
Hamed,9,0,8,0,0,0
Hamed,10,8,0,0,0,0
Illia,5,90,90,90,90,90
Illia,6,90,90,90,90,90
Illia,7,90,90,90,90,90
Illia,8,90,90,90,90,90
Illia,9,90,90,90,90,90
Illia,10,90,90,90,90,90
Illia,11,90,90,90,90,90
Milos,5,90,90,90,90,73
Milos,6,90,90,90,73,90
Milos,7,90,90,73,90,82
Milos,8,90,73,90,82,66
Milos,9,73,90,82,66,84
Milos,10,90,82,66,84,8
Milos,11,82,66,84,8,90
Ionuț,10,0,0,0,0,90
Ionuț,11,0,0,0,90,90
Max,5,74,90,90,90,90
Max,6,90,90,90,90,90
Max,7,90,90,90,90,90
Max,8,90,90,90,90,4
Max,9,90,90,90,4,90
Max,10,90,90,4,90,84
Max,11,90,4,90,84,90
Alex,9,0,0,0,0,56
Alex,10,0,0,0,56,90
Alex,11,0,0,56,90,43
Luis,9,17,0,31,33,0
Luis,10,0,31,33,0,0
Luis,11,31,33,0,0,18
Kristoffer,5,83,1,0,9,0
Kristoffer,6,1,0,9,0,29
Kristoffer,7,0,9,0,29,88
Kristoffer,8,9,0,29,88,90
Kristoffer,9,0,29,88,90,75
Kristoffer,10,29,88,90,75,90
Kristoffer,11,88,90,75,90,78
Shandon,5,18,0,0,0,0
Nathan,5,90,90,90,9,90
Nathan,6,90,90,9,90,90
Nathan,7,90,9,90,90,90
Nathan,8,9,90,90,90,90
Nathan,9,90,90,90,90,90
Nathan,10,90,90,90,90,90
Nathan,11,90,90,90,90,90
Mikkel,5,41,11,0,0,0
Mikkel,6,11,0,0,0,0
Josh,5,0,9,0,0,0
Josh,6,9,0,0,0,0
Mark,5,90,90,90,90,90
Mark,6,90,90,90,90,90
Mark,7,90,90,90,90,90
Mark,8,90,90,90,90,0
Mark,9,90,90,90,0,90
Mark,10,90,90,0,90,90
Mark,11,90,0,90,90,45
Rico,5,90,90,90,90,41
Rico,6,90,90,90,41,0
Rico,7,90,90,41,0,0
Rico,8,90,41,0,0,0
Rico,9,41,0,0,0,0
Aaron,5,71,77,90,81,81
Aaron,6,77,90,81,81,72
Aaron,7,90,81,81,72,68
Aaron,8,81,81,72,68,90
Aaron,9,81,72,68,90,0
Aaron,10,72,68,90,0,83
Aaron,11,68,90,0,83,0
Vitaly,5,90,90,90,70,71
Vitaly,6,90,90,70,71,61
Vitaly,7,90,70,71,61,88
Vitaly,8,70,71,61,88,69
Vitaly,9,71,61,88,69,90
Vitaly,10,61,88,69,90,75
Vitaly,11,88,69,90,75,90
Mathias,5,48,90,71,80,90
Mathias,6,90,71,80,90,90
Mathias,7,71,80,90,90,68
Mathias,8,80,90,90,68,82
Mathias,9,90,90,68,82,75
Mathias,10,90,68,82,75,63
Mathias,11,68,82,75,63,77
Keane,5,0,19,10,19,8
Keane,6,19,10,19,8,88
Keane,7,10,19,8,88,74
Keane,8,19,8,88,74,0
Keane,9,8,88,74,0,0
Keane,10,88,74,0,0,0
Keane,11,74,0,0,0,0
Bryan,5,90,90,90,90,90
Bryan,6,90,90,90,90,90
Bryan,7,90,90,90,90,90
Bryan,8,90,90,90,90,90
Bryan,9,90,90,90,90,90
Bryan,10,90,90,90,90,90
Bryan,11,90,90,90,90,90
Ben,5,0,0,0,80,71
Ben,6,0,0,80,71,0
Ben,7,0,80,71,0,0
Ben,8,80,71,0,0,0
Ben,9,71,0,0,0,0
Ben,11,0,0,0,0,1
Christian,5,71,78,90,90,71
Christian,6,78,90,90,71,90
Christian,7,90,90,71,90,90
Christian,8,90,71,90,90,90
Christian,9,71,90,90,90,90
Christian,10,90,90,90,90,90
Christian,11,90,90,90,90,90
Frank,5,0,0,18,19,18
Frank,6,0,18,19,18,28
Frank,7,18,19,18,28,21
Frank,8,19,18,28,21,20
Frank,9,18,28,21,20,83
Frank,10,28,21,20,83,26
Frank,11,21,20,83,26,90
Ethan,5,90,90,90,90,90
Ethan,6,90,90,90,90,90
Ethan,7,90,90,90,90,90
Ethan,8,90,90,90,90,90
Ethan,9,90,90,90,90,90
Ethan,10,90,90,90,90,90
Ethan,11,90,90,90,90,90
Mads,5,18,12,0,0,48
Mads,6,12,0,0,48,60
Mads,7,0,0,48,60,1
Mads,8,0,48,60,1,90
Mads,9,48,60,1,90,14
Mads,10,60,1,90,14,90
Mads,11,1,90,14,90,11
Kevin,5,18,70,79,70,18
Kevin,6,70,79,70,18,0
Kevin,7,79,70,18,0,0
Kevin,8,70,18,0,0,0
Kevin,9,18,0,0,0,0
Thomas,8,0,0,0,0,90
Thomas,9,0,0,0,90,0
Thomas,10,0,0,90,0,0
Thomas,11,0,90,0,0,45
Yoane,5,71,78,90,90,90
Yoane,6,78,90,90,90,90
Yoane,7,90,90,90,90,90
Yoane,8,90,90,90,90,69
Yoane,9,90,90,90,69,90
Yoane,10,90,90,69,90,75
Yoane,11,90,69,90,75,88
Yegor,9,0,0,0,0,14
Yegor,10,0,0,0,14,14
Yegor,11,0,0,14,14,12
Mathias,5,6,0,0,0,0
Neal,5,71,39,0,0,18
Neal,6,39,0,0,18,0
Neal,7,0,0,18,0,15
Neal,8,0,18,0,15,20
Neal,9,18,0,15,20,87
Neal,10,0,15,20,87,14
Neal,11,15,20,87,14,90
Michael,5,0,0,0,8,0
Michael,6,0,0,8,0,1
Michael,7,0,8,0,1,1
Michael,8,8,0,1,1,0
Michael,9,0,1,1,0,2
Michael,10,1,1,0,2,0
Michael,11,1,0,2,0,0
Saman,8,0,0,17,21,7
Saman,9,0,17,21,7,6
Saman,10,17,21,7,6,6
Saman,11,21,7,6,6,1
Simon,5,16,0,18,1,84
Simon,6,0,18,1,84,87
Simon,7,18,1,84,87,28
Simon,8,1,84,87,28,90
Simon,9,84,87,28,90,90
Simon,10,87,28,90,90,70
Simon,11,28,90,90,70,89
Facundo,6,0,0,0,0,45
Facundo,7,0,0,0,45,0
Facundo,8,0,0,45,0,0
Facundo,9,0,45,0,0,0
Facundo,10,45,0,0,0,19
Facundo,11,0,0,0,19,11
Mahmoud,5,73,9,0,13,76
Mahmoud,6,9,0,13,76,73
Mahmoud,7,0,13,76,73,0
Mahmoud,8,13,76,73,0,0
Mahmoud,9,76,73,0,0,0
Mahmoud,10,73,0,0,0,70
Mahmoud,11,0,0,0,70,22
Lewis,5,90,90,90,90,90
Lewis,6,90,90,90,90,90
Lewis,7,90,90,90,90,90
Lewis,8,90,90,90,90,90
Lewis,9,90,90,90,90,90
Lewis,10,90,90,90,90,90
Lewis,11,90,90,90,90,90
Julio,5,2,66,0,0,0
Julio,6,66,0,0,0,0
Pervis,5,90,90,90,90,0
Pervis,6,90,90,90,0,90
Pervis,7,90,90,0,90,45
Pervis,8,90,0,90,45,0
Pervis,9,0,90,45,0,0
Pervis,10,90,45,0,0,0
Pervis,11,45,0,0,0,0
Evan,5,12,23,90,80,5
Evan,6,23,90,80,5,45
Evan,7,90,80,5,45,45
Evan,8,80,5,45,45,59
Evan,9,5,45,45,59,74
Evan,10,45,45,59,74,77
Evan,11,45,59,74,77,67
Billy,5,16,90,59,76,13
Billy,6,90,59,76,13,90
Billy,7,59,76,13,90,90
Billy,8,76,13,90,90,0
Billy,9,13,90,90,0,24
Billy,10,90,90,0,24,19
Billy,11,90,0,24,19,67
Pascal,5,90,80,90,88,90
Pascal,6,80,90,88,90,0
Pascal,7,90,88,90,0,0
Pascal,8,88,90,0,0,90
Pascal,9,90,0,0,90,90
Pascal,10,0,0,90,90,90
Pascal,11,0,90,90,90,90
João Pedro,5,87,33,30,76,26
João Pedro,6,33,30,76,26,27
João Pedro,7,30,76,26,27,45
João Pedro,8,76,26,27,45,88
João Pedro,9,26,27,45,88,64
João Pedro,10,27,45,88,64,12
João Pedro,11,45,88,64,12,45
Adam,5,0,9,30,9,63
Adam,6,9,30,9,63,0
Adam,7,30,9,63,0,0
Adam,8,9,63,0,0,0
Adam,9,63,0,0,0,0
Adam,10,0,0,0,0,58
Adam,11,0,0,0,58,45
Tariq,5,0,0,0,13,76
Tariq,6,0,0,13,76,3
Tariq,7,0,13,76,3,45
Tariq,8,13,76,3,45,0
Tariq,9,76,3,45,0,0
Tariq,10,3,45,0,0,0
Tariq,11,45,0,0,0,0
Solly,5,73,90,71,80,0
Solly,6,90,71,80,0,0
Solly,7,71,80,0,0,61
Solly,8,80,0,0,61,90
Solly,9,0,0,61,90,90
Solly,10,0,61,90,90,0
Solly,11,61,90,90,0,0
James,5,78,56,71,9,13
James,6,56,71,9,13,0
James,7,71,9,13,0,0
James,8,9,13,0,0,0
James,9,13,0,0,0,45
James,10,0,0,0,45,0
James,11,0,0,45,0,78
Kaoru,5,90,80,90,90,90
Kaoru,6,80,90,90,90,45
Kaoru,7,90,90,90,45,90
Kaoru,8,90,90,45,90,90
Kaoru,9,90,45,90,90,90
Kaoru,10,45,90,90,90,90
Kaoru,11,90,90,90,90,90
Jason,5,90,90,0,0,90
Jason,6,90,0,0,90,0
Jason,7,0,0,90,0,90
Jason,8,0,90,0,90,0
Jason,9,90,0,90,0,90
Jason,10,0,90,0,90,90
Jason,11,90,0,90,90,0
Jan Paul,5,90,0,0,90,90
Jan Paul,6,0,0,90,90,0
Jan Paul,7,0,90,90,0,0
Jan Paul,8,90,90,0,0,27
Jan Paul,9,90,0,0,27,1
Jan Paul,10,0,0,27,1,0
Jan Paul,11,0,27,1,0,90
Joël,5,11,33,18,90,90
Joël,6,33,18,90,90,90
Joël,7,18,90,90,90,90
Joël,8,90,90,90,90,90
Joël,9,90,90,90,90,45
Joël,10,90,90,90,45,19
